提升机-输送线通讯规约,,,,,,,,,,,,,,
SEMA,,项目,SH-JT,,版本,V1.0.0,,,,日期,20200613,,,
数据类型,基址,偏移地址,数据长度,十进制,序号,名称,参数或返回值,模式,默认值,控制方式,备注,,,
提升机+输送线,,,,,,,,,,,,,,
INT,DB100,124,4,62,56,任务七托盘码,xxxx,,0,MODBUS写,,,,
INT,DB100,128,2,64,57,任务七目标层,1:1F  2:2F  3:3F  4:4F,,1,MODBUS写,,,,
INT,DB100,130,2,65,58,任务七目标端口,0：提升机侧 1：非提升机侧 ,,0,MODBUS写,选填项,,,
INT,DB100,132,2,66,59,任务七来源层,1：1F  2:2F  3:3F  4:4F,,1,MODBUS写,,,,
INT,DB100,134,2,67,60,任务七来源端口,0：提升机侧 1：非提升机侧 ,,0,MODBUS写,选填项,,,
INT,DB100,136,2,68,61,任务七reserved1,,,0,MODBUS写,预留项,,,
INT,DB100,138,2,69,62,任务七reserved2,,,0,MODBUS写,预留项,,,
INT,DB100,200,2,100,100,WCS功能开启状态,0：未开启 1：已开启  ,,0,MODBUS读,提升机PLC与WCS在线/离线判断,,,
INT,DB100,202,2,101,101,提升机当前工作模式,1：点动 2：单步   3:自动  4：手动,,0,MODBUS读,WCS需在自动模式下才可调用提升机,,,
INT,DB100,204,2,102,102,提升机复位状态,0：未复位完毕 1:复位完毕  ,,0,MODBUS读,WCS发送控制命令的前提条件,,,
INT,DB100,206,2,103,103,提升机状态,1：忙碌  2：空闲,,0,MODBUS读,提升机升降动作，上位判断有无小车逻辑,,,
INT,DB100,208,2,104,104,提升机到位,0：未到位 1：到位,单步,0,MODBUS读,提升机运行过程中状态为0，到达目标层为1，静止状态保持1,,,
INT,DB100,210,2,105,105,提升机当前层,1:1F  2:2F  3:3F  4:4F,,1,MODBUS读,提升机当前层数，会随着提升机,,,
INT,DB100,212,2,106,106,当前警告,"00=无警告
01=货物堵塞
02=小车超限
03=入库分配超时
04=提升目标层超限
05=提升机未检测到货物
06=提升机出入口有异物",,0,MODBUS读,警告代表提醒但不紧急，PLC有条件执行其他任务,,,
INT,DB100,214,2,107,107,设备故障信息,"00=无故障
01=提升机位置故障
02=提升数据丢失
03=提升认址错误
04=提升变频器报警",,0,MODBUS读,故障代表错误，需紧急停止,,,
INT,DB100,216,4,108,108,读码数值（提升机侧）,Value,,0,MODBUS读,上报WCS,,,
INT,DB100,220,4,110,109,读码数值（非提升机侧）,Value,,0,MODBUS读,上报WCS,,,
INT,DB100,224,2,112,110,外形检测结果（提升机侧）,0空闲中 1合格低货 2合格高货 3不合格,,0,MODBUS读,运动中检测,,,
,,226,2,113,111,外形检测结果（非提升机侧）,0空闲中 1合格低货 2合格高货 3不合格,,0,MODBUS读,,,,
INT,DB100,228,2,114,112,不合格反退完毕,1反退完毕 2反退中,,0,MODBUS读,,,,
INT,DB100,230,4,115,113,提升机内有无小车,1.有 2.无,,0,MODBUS读,,,,
INT,DB100,234,4,117,114,"升降机光电及
出入口位置光电信号","bit位表示对应光电状态
1<<0  bit0
1<<1  bit1
1<<2  bit2
...
1<<22  bit22
1<<23  bit23
...",,0,MODBUS读,"解析方式同上
该上报数据为PLC端和WCS端双重安全保护机制，防止未到位的情况下启动提升机
每空位4个传感器，
一层入口  一层出口  提升机
二层出口  三层出口  四层出口
从右到左，共保留24位，WCS可自由按需提取",,,
,DB100,238,4,119,115,任务一读托盘码,xxxx,,0,MODBUS读,,,,
,DB100,242,2,121,116,任务一状态,1：执行中  2：堵塞排队中 3：完成,,0,MODBUS读,两套提升机结构不同，数据冲突判断逻辑亦不同,,,
,DB100,244,2,122,117,任务一错误码,10：货位到位超时 11：数据冲突  ,,0,MODBUS读,,,,
,DB100,246,2,123,118,托盘位置,1-22的编号,,0,MODBUS读,,,,
,DB100,248,2,124,119,任务一reservd2,,,0,MODBUS读,,,,
,DB100,250,4,125,120,任务二读托盘码,xxxx,,0,MODBUS读,,,,
,DB100,254,2,127,121,任务二状态,1：执行中  2：堵塞排队中 3：完成,,0,MODBUS读,,,,
,DB100,256,2,128,122,任务二错误码,10：货位到位超时 11：数据冲突  ,,0,MODBUS读,,,,
,DB100,258,2,129,123,托盘位置,,,0,MODBUS读,,,,
,DB100,260,2,130,124,任务二reservd2,,,0,MODBUS读,,,,
,DB100,262,4,131,125,任务三读托盘码,xxxx,,0,MODBUS读,,,,
,DB100,266,2,133,126,任务三状态,1：执行中  2：堵塞排队中 3：完成,,0,MODBUS读,,,,
,DB100,268,2,134,127,任务三错误码,10：货位到位超时 11：数据冲突  ,,0,MODBUS读,,,,
,DB100,270,2,135,128,托盘位置,,,0,MODBUS读,,,,
,DB100,272,2,136,129,任务三reservd2,,,0,MODBUS读,,,,
,DB100,274,4,137,130,任务四读托盘码,xxxx,,0,MODBUS读,,,,
,DB100,278,2,139,131,任务四状态,1：执行中  2：堵塞排队中 3：完成,,0,MODBUS读,,,,
,DB100,280,2,140,132,任务四错误码,10：货位到位超时 11：数据冲突  ,,0,MODBUS读,,,,
,DB100,282,2,141,133,托盘位置,,,0,MODBUS读,,,,
,DB100,284,2,142,134,任务四reservd2,,,0,MODBUS读,,,,
,DB100,286,4,143,135,任务五读托盘码,xxxx,,0,MODBUS读,,,,
,DB100,290,2,145,136,任务五状态,1：执行中  2：堵塞排队中 3：完成,,0,MODBUS读,,,,
,DB100,292,2,146,137,任务五错误码,10：货位到位超时 11：数据冲突  ,,0,MODBUS读,,,,
,DB100,294,2,147,138,托盘位置,,,0,MODBUS读,,,,
,DB100,296,2,148,139,任务五reservd2,,,0,MODBUS读,,,,
,DB100,298,4,149,140,任务六读托盘码,xxxx,,0,MODBUS读,,,,
,DB100,302,2,151,141,任务六状态,1：执行中  2：堵塞排队中 3：完成,,0,MODBUS读,,,,
,DB100,304,2,152,142,任务六错误码,10：货位到位超时 11：数据冲突  ,,0,MODBUS读,,,,
,DB100,306,2,153,143,托盘位置,,,0,MODBUS读,,,,
,DB100,308,2,154,144,任务六reservd2,,,0,MODBUS读,,,,
,DB100,310,4,155,145,任务七读托盘码,xxxx,,0,MODBUS读,,,,
,DB100,314,2,157,146,任务七状态,1：执行中  2：堵塞排队中 3：完成,,0,MODBUS读,,,,
,DB100,316,2,158,147,任务七错误码,10：货位到位超时 11：数据冲突  ,,0,MODBUS读,,,,
,DB100,318,2,159,148,托盘位置,,,0,MODBUS读,,,,
,DB100,320,2,160,149,任务七reservd2,,,0,MODBUS读,,,,
,DB100,322,2,161,150,reserved,,,0,MODBUS读,,,,
,DB100,324,2,162,151,任务一位置,1-22：A001-A022,,0,MODBUS读,,,,
,DB100,326,2,163,152,任务二位置,1-22：A001-A022,,0,MODBUS读,,,,
,DB100,328,2,164,153,任务三位置,1-22：A001-A022,,0,MODBUS读,,,,
,DB100,330,2,165,154,任务四位置,1-22：A001-A022,,0,MODBUS读,,,,
,DB100,332,2,166,155,任务五位置,1-22：A001-A022,,0,MODBUS读,,,,
,DB100,334,2,167,156,任务六位置,1-22：A001-A022,,0,MODBUS读,,,,
,DB100,336,2,168,157,任务七位置,1-22：A001-A022,,0,MODBUS读,,,,
充电桩功能定义 （仅完整版提升机有此功能）,,,,,,,,,,,,,,
INT,DB100,150,2,75,70,充电位开关控制,"0000 全部关闭 
0001 开启1号充电位
0010 开启2号充电位
0100 开启3号充电位
1000 开启4号充电位",,0,MODBUS写,"二进制bit位组合实现多路独立控制
如 要求1、4号充电桩开启，发送9（即1001）",,,
